20.3 30.0
20.6 32.2
20.9 34.9
20.3 31.0
20.6 33.2
20.9 35.9
21.3 34.0
21.6 36.1
21.9 37.9
21.2 35.0
21.4 38.1
21.8 36.9
22.3 36.4
22.6 39.5
22.9 41.9
22.2 38.4
22.4 37.5
22.8 39.9
23.3 41.7
23.6 42.9
23.9 43.0
23.2 40.7
23.4 43.9
23.8 45.0
24.3 41.6
24.6 44.8
24.9 45.9
24.2 48.6
24.4 47.8
24.8 49.9
25.3 43.2
25.6 47.4
25.9 49.6
25.2 43.2
25.4 47.4
25.8 49.6
26.3 45.9
26.6 49.1
26.9 47.0
26.2 46.9
26.4 51.1
26.8 49.0
27.3 46.9
27.6 51.7
27.9 50.4
27.2 47.9
27.4 49.7
27.8 51.4
28.3 48.8
28.6 50.1
28.9 51.0
28.2 52.8
28.4 53.1
28.8 53.0
29.3 49.5
29.6 50.6
29.9 51.9
29.2 51.5
29.4 52.6
29.8 54.9
30.3 51.4
30.6 52.7
30.9 53.9
30.2 55.4
30.4 57.7
30.8 56.9
31.3 51.7
31.6 52.9
31.9 54.0
31.2 52.7
31.4 56.9
31.8 59.0
32.3 51.4
32.6 53.7
32.9 52.6
32.2 54.4
32.4 53.7
32.8 58.6
33.3 53.3
33.6 54.7
33.9 58.8
33.2 57.3
33.4 56.7
33.8 57.8
34.3 53.0
34.6 54.9
34.9 55.1
34.2 56.0
34.4 54.9
34.8 58.1
35.3 54.1
35.6 55.0
35.9 56.9
35.3 55.1
35.6 57.0
35.9 55.9
36.3 53.3
36.6 52.2
36.9 55.5
36.2 55.3
36.4 58.2
36.8 57.5
37.3 56.0
37.6 54.9
37.9 55.6
37.2 56.0
37.4 57.9
37.8 59.6
38.3 54.1
38.6 57.2
38.9 59.4
38.2 58.1
38.4 59.3
38.8 57.4
39.3 60.0
39.6 59.0
39.9 61.4
39.2 60.0
39.4 62.0
39.8 61.4
40.3 60.6
40.6 62.4
40.9 63.7
40.2 65.6
40.4 63.4
40.8 64.7
41.3 61.4
41.6 64.4
41.9 62.4
41.2 65.4
41.4 66.4
41.8 68.4
42.3 64.6
42.6 66.6
42.9 65.9
42.2 65.6
42.4 67.6
42.8 69.6
43.3 65.9
43.6 67.9
43.9 69.9
43.2 68.9
43.4 70.9
43.8 72.9
44.3 74.1
44.6 73.1
44.9 72.1
44.2 76.1
44.4 75.1
44.8 79.1
45.3 76.7
45.6 78.7
45.9 79.7
45.2 79.3
45.4 80.7
45.8 82.7
46.3 83.5
46.6 84.5
46.9 82.5
46.2 85.5
46.4 85.5
46.8 89.5
47.3 87.5
47.6 88.9
47.9 88.5
47.2 90.5
47.4 91.5
47.8 93.5
48.3 90.5
48.6 91.5
48.9 92.5
48.2 93.3
48.4 93.5
48.8 94.5
49.3 91.8
49.6 92.8
49.9 93.3
49.2 94.2
49.4 94.8
49.8 95.4
50.3 91.4
50.6 92.4
50.9 93.2
50.2 94.4
50.4 93.4
50.8 95.4
51.3 95.0
51.6 94.1
51.9 93.8
51.2 93.2
51.4 92.8
51.8 93.8
52.3 93.1
52.6 93.0
52.9 91.1
52.2 92.3
52.4 91.4
52.8 90.4
53.3 93.0
53.6 92.0
53.9 91.3
53.2 92.1
53.4 91.6
53.8 92.0
54.3 93.5
54.6 92.8
54.9 92.5
54.2 91.5
54.4 90.7
54.8 90.5
55.3 91.8
55.6 92.8
55.9 91.2
55.2 91.1
55.4 90.8
55.8 89.8
56.3 90.7
56.6 88.7
56.9 89.7
56.2 90.1
56.4 90.7
56.8 88.7
57.3 84.2
57.6 85.2
57.9 85.8
57.2 83.2
57.4 87.2
57.8 85.2
58.3 84.3
58.6 86.1
58.9 85.2
58.2 83.8
58.4 84.4
58.8 83.3
59.3 86.8
59.6 83.2
59.9 85.0
59.2 86.1
59.4 84.1
59.8 82.3
